short_name
L. Messi
Cristiano Ronaldo
Neymar Jr
J. Oblak
E. Hazard
K. De Bruyne
M. ter Stegen
V. van Dijk
L. Modrić
M. Salah
K. Mbappé
K. Koulibaly
H. Kane
Alisson
De Gea
N. Kanté
G. Chiellini
S. Agüero
Sergio Ramos
L. Suárez
R. Lewandowski
Sergio Busquets
A. Griezmann
P. Dybala
P. Pogba
Ederson
R. Sterling
C. Eriksen
T. Courtois
Piqué
S. Handanovič
M. Neuer
H. Lloris
David Silva
E. Cavani
D. Godín
T. Kroos
M. Reus
P. Aubameyang
S. Mané
A. Laporte
Bernardo Silva
Casemiro
H. Son
Fernandinho
Thiago Silva
K. Benzema
J. Vertonghen
D. Mertens
M. Hummels
T. Alderweireld
Jordi Alba
Thiago
K. Navas
L. Insigne
L. Sané
Marquinhos
M. Škriniar
M. Verratti
S. Umtiti
W. Szczęsny
J. Kimmich
Isco
Roberto Firmino
I. Rakitić
M. Pjanić
A. Di María
L. Bonucci
Coutinho
Parejo
T. Müller
C. Immobile
A. Lacazette
M. de Ligt
G. Donnarumma
F. de Jong
R. Varane
N. Süle
S. Milinković-Savić
Rodri
Saúl
Fabinho
A. Robertson
J. Giménez
C. Lenglet
Bruno Fernandes
A. Lopes
P. Gulácsi
R. Bürki
R. Lukaku
K. Manolas
Neto
D. Alaba
M. Icardi
Carvajal
H. Ziyech
Z. Ibrahimović
A. Gómez
G. Higuaín
B. Matuidi
G. Bale
Marcelo
A. Witsel
Alex Sandro
Iago Aspas
Koke
J. Rodríguez
Allan
J. Sancho
K. Havertz
O. Dembélé
Kepa
João Cancelo
D. Alli
L. Hernández
Arthur
M. Depay
L. Goretzka
J. Brandt
K. Coman
S. Gnabry
N. Fekir
B. Leno
Luis Alberto
Alex Telles
J. Pavlenka
S. de Vrij
Felipe Anderson
Pepe
João Moutinho
S. Ruffier
S. Sirigu
M. Hamšík
Sokratis
Lucas Leiva
M. Özil
Javi Martínez
Y. Sommer
E. Džeko
G. Wijnaldum
I. Perišić
M. Mandžukić
A. Vidal
J. Boateng
Azpilicueta
José Callejón
I. Gündoğan
Paulinho
K. Walker
Canales
Douglas Costa
Pizzi
D. Tadić
J. Iličić
R. Mahrez
E. Višća
Felipe
Fabián
A. Romagnoli
G. Lo Celso
T. Alexander-Arnold
L. Jović
A. Milik
A. Martial
Anderson Talisca
J. Tah
C. Tolisso
Pau López
Gonçalo Guedes
N. Pépé
M. Akanji
M. Rashford
J. Stones
A. Rabiot
Grimaldo
T. Werner
T. Lemar
D. Sánchez
Marco Asensio
L. Digne
J. Draxler
J. Pickford
Y. Carrasco
Borja Iglesias
K. Casteels
W. Zaha
Paco Alcácer
Morata
S. Haller
William Carvalho
F. Bernardeschi
D. Djené
Oscar
K. Trapp
Bartra
Pablo Sarabia
J. Cillessen
Lucas Moura
F. Thauvin
Jorginho
G. Buffon
Casillas
R. Jarstein
V. Kompany
Raúl Albiol
F. Quagliarella
K. Schmeichel
Falcao
Miranda
C. Vela
E. Garay
Rui Patrício
R. Nainggolan
E. Banega
Diego Costa
S. Khedira
David Luiz
M. Kruse
J. Henderson
G. Sigurðsson
A. Ramsey
Illarramendi
D. Blind
L. Hrádecký
N. Otamendi
J. Cuadrado
I. Gueye
K. Kampl
Rodrigo
C. Aránguiz
W. Ben Yedder
F. Acerbi
Danilo Pereira
A. Kramarić
Louri Beretta
Josué Chiamulera
Ronaldo Cabrais
Oyarzabal
L. Bailey
Gabriel Jesus
M. Kovačić
A. Belotti
T. Strakosha
N. Keïta
L. Torreira
Rúben Neves
P. Kimpembe
S. Bergwijn
A. Onana
Nélson Semedo
A. Areola
M. Perin
D. Rugani
A. Correa
Iñaki Williams
H. Lozano
Gelson Martins
B. Lecomte
T. Partey
K. Demirbay
J. Matip
Suso
S. Savić
A. Rüdiger
Pacheco
Ricardo Pereira
N. Tagliafico
David Soria
Sergio Asenjo
Muniain
M. Götze
T. Delaney
O. Baumann
Willian José
Sergi Roberto
N. Schulz
K. Volland
Nacho Fernández
Gabriel Paulista
J. Roussillon
H. Maguire
T. Hazard
E. Forsberg
F. Kostić
M. Politano
Rafa
Pepe Reina
D. De Rossi
Aduriz
Jesús Navas
Santi Cazorla
H. Herrera
L. Biglia
L. Fabiański
E. Viviano
Juan Mata
O. Giroud
S. Kjær
Willian
V. Ćorluka
M. Arnautović
A. Sánchez
Giuliano
A. Kolarov
M. Balotelli
Marlos
Taison
B. Dost
G. Bonaventura
Pedro
L. de Jong
S. El Shaarawy
Ander Herrera
X. Shaqiri
Mário Fernandes
S. Coates
C. Bakambu
T. Meunier
K. Bellarabi
J. Lingard
Q. Promes
J. Vardy
D. Zapata
Morales
Raphaelito Anjos
Juiano Mestres
Rosberto Dourado
E. Schetino
J. Sildero
L. Martínez
H. Aouar
T. Ndombele
Éder Militão
A. Cragno
D. van de Beek
V. Lindelöf
Dani Ceballos
Pablo Fornals
E. Can
Gayà
David Neres
P. Zieliński
G. Rulli
G. Xhaka
Rafinha
G. Kondogbia
M. Sabitzer
L. Shaw
J. Martínez
A. Doucouré
W. Ndidi
T. Horn
W. Orban
A. Plea
Y. Poulsen
R. Fraser
M. Ginter
R. Guerreiro
João Mário
Thiago Mendes
A. Izzo
M. Brozović
A. Ljajić
J. Corona
Jordi Masip
T. Vaclík
L. Milivojević
Gerard Moreno
W. Weghorst
Quaresma
J. Mathieu
J. Milner
L. López
B. Gomis
M. Dembélé
Cesc Fàbregas
A. Consigli
L. Koscielny
Jardel
Renato Augusto
José Fonte
A. Guardado
L. Piszczek
